@@@ f4-f16-f16-EN-c80
1 6.9140
2 6.7376
3 5.3517
4 5.7731
5 6.2105
6 6.2229
7 6.3437
8 6.4391
9 6.4412
10 6.1315
11 6.2943
12 6.3085
13 6.4122
14 6.6084
15 6.5403
16 6.3797
17 6.3749
18 6.3011
19 6.1032
20 5.9295
21 5.9412
22 6.1249
23 6.1274
24 6.2345
25 6.1859
26 6.0956
27 6.0352
28 5.9804
29 5.9010
30 5.8536
31 5.9082
32 5.9883
33 6.0013
34 5.9628
35 5.9474
36 5.9118
37 5.9756
38 5.9748
39 5.9811
40 6.0044
41 5.9622
42 5.9231
43 5.9256
44 5.9145
45 5.9269
46 6.0200
47 6.0680
48 6.1507
49 6.2453
50 6.2637
51 6.2707
52 6.2666
53 6.2591
54 6.2887
55 6.3245
56 6.3117
57 6.3445
58 6.3525
59 6.3477
60 6.3725
61 6.3573
62 6.3576
63 6.3538
64 6.3266
65 6.3177
66 6.3020
67 6.3442
68 6.3269
69 6.3539
70 6.3973
71 6.3837
72 6.3921
@@@ f4-f16-f16-PL-c80
1 6.0772
2 5.2030
3 5.0362
4 4.9676
5 4.6896
6 4.6776
7 4.8082
8 4.6196
9 4.4592
10 4.2844
11 4.4044
12 4.4812
13 4.3912
14 4.2883
15 4.1235
16 4.1207
17 4.0758
18 3.9663
19 3.9669
20 3.9971
21 3.9946
22 4.1375
23 4.2603
24 4.3513
25 4.4538
26 4.5440
27 4.6230
28 4.7295
29 4.8408
30 4.9046
31 4.9805
32 5.0331
33 5.0856
34 5.1859
35 5.2525
36 5.3216
37 5.3553
38 5.3703
39 5.4079
40 5.4401
41 5.4749
42 5.5296
43 5.5929
44 5.6414
45 5.7094
46 5.7499
47 5.8296
48 5.8808
49 5.9260
50 5.9390
51 5.9785
52 5.9856
53 6.0094
54 6.0560
55 6.0736
56 6.1038
57 6.1349
58 6.1429
59 6.1500
60 6.1815
61 6.2269
62 6.2688
63 6.2865
64 6.3075
65 6.3619
66 6.3762
67 6.3956
68 6.4128
69 6.4308
70 6.4545
71 6.4640
72 6.4874
73 6.5021
74 6.5062
75 6.5210
76 6.5378
77 6.5342
78 6.5441
79 6.5553
80 6.5461
@@@ f4-q8-q8-EN-c80
1 6.9364
2 6.7480
3 5.3601
4 5.7754
5 6.2202
6 6.2301
7 6.3520
8 6.4452
9 6.4463
10 6.1334
11 6.2987
12 6.3124
13 6.4148
14 6.6112
15 6.5421
16 6.3827
17 6.3796
18 6.3062
19 6.1079
20 5.9335
21 5.9455
22 6.1305
23 6.1329
24 6.2379
25 6.1890
26 6.0983
27 6.0380
28 5.9831
29 5.9044
30 5.8567
31 5.9119
32 5.9921
33 6.0045
34 5.9659
35 5.9503
36 5.9146
37 5.9783
38 5.9772
39 5.9838
40 6.0076
41 5.9652
42 5.9251
43 5.9280
44 5.9164
45 5.9286
46 6.0221
47 6.0699
48 6.1527
49 6.2459
50 6.2644
51 6.2713
52 6.2673
53 6.2599
54 6.2899
55 6.3242
56 6.3114
57 6.3440
58 6.3523
59 6.3467
60 6.3714
61 6.3565
62 6.3567
63 6.3528
64 6.3255
65 6.3165
66 6.3010
67 6.3407
68 6.3237
69 6.3552
70 6.3986
71 6.3849
72 6.3934
@@@ f4-q8-q8-PL-c80
1 6.0776
2 5.2040
3 5.0397
4 4.9686
5 4.6896
6 4.6766
7 4.8072
8 4.6182
9 4.4589
10 4.2836
11 4.4041
12 4.4814
13 4.3912
14 4.2887
15 4.1241
16 4.1209
17 4.0757
18 3.9661
19 3.9663
20 3.9963
21 3.9938
22 4.1367
23 4.2591
24 4.3502
25 4.4529
26 4.5427
27 4.6215
28 4.7283
29 4.8395
30 4.9036
31 4.9798
32 5.0325
33 5.0852
34 5.1858
35 5.2522
36 5.3219
37 5.3555
38 5.3705
39 5.4081
40 5.4404
41 5.4751
42 5.5303
43 5.5939
44 5.6422
45 5.7102
46 5.7505
47 5.8301
48 5.8810
49 5.9264
50 5.9392
51 5.9787
52 5.9857
53 6.0095
54 6.0561
55 6.0735
56 6.1038
57 6.1349
58 6.1429
59 6.1499
60 6.1812
61 6.2267
62 6.2686
63 6.2864
64 6.3074
65 6.3620
66 6.3764
67 6.3958
68 6.4132
69 6.4311
70 6.4548
71 6.4643
72 6.4878
73 6.5023
74 6.5062
75 6.5209
76 6.5380
77 6.5344
78 6.5443
79 6.5554
80 6.5463
@@@ f4-q8-turbo3-EN-c80
1 6.9289
2 6.7630
3 5.3818
4 5.8068
5 6.3028
6 6.3059
7 6.4287
8 6.5145
9 6.5147
10 6.2048
11 6.3695
12 6.3817
13 6.5065
14 6.6984
15 6.6242
16 6.4607
17 6.4677
18 6.3920
19 6.1881
20 6.0142
21 6.0253
22 6.2132
23 6.2137
24 6.3245
25 6.2727
26 6.1787
27 6.1147
28 6.0553
29 5.9750
30 5.9243
31 5.9794
32 6.0595
33 6.0714
34 6.0311
35 6.0142
36 5.9769
37 6.0417
38 6.0402
39 6.0498
40 6.0773
41 6.0334
42 5.9928
43 5.9952
44 5.9837
45 5.9947
46 6.0904
47 6.1388
48 6.2235
49 6.3286
50 6.3467
51 6.3529
52 6.3477
53 6.3404
54 6.3735
55 6.4132
56 6.3999
57 6.4327
58 6.4398
59 6.4405
60 6.4636
61 6.4468
62 6.4460
63 6.4417
64 6.4132
65 6.4030
66 6.3868
67 6.4376
68 6.4194
69 6.4512
70 6.4949
71 6.4801
72 6.4873
@@@ f4-q8-turbo3-PL-c80
1 6.1008
2 5.2286
3 5.0642
4 4.9933
5 4.7099
6 4.6981
7 4.8252
8 4.6327
9 4.4708
10 4.2973
11 4.4187
12 4.4960
13 4.4057
14 4.3026
15 4.1363
16 4.1324
17 4.0876
18 3.9773
19 3.9775
20 4.0081
21 4.0058
22 4.1494
23 4.2716
24 4.3629
25 4.4672
26 4.5573
27 4.6369
28 4.7449
29 4.8564
30 4.9203
31 4.9973
32 5.0499
33 5.1039
34 5.2050
35 5.2714
36 5.3412
37 5.3755
38 5.3908
39 5.4285
40 5.4611
41 5.4962
42 5.5512
43 5.6148
44 5.6626
45 5.7314
46 5.7722
47 5.8515
48 5.9019
49 5.9476
50 5.9609
51 6.0011
52 6.0084
53 6.0317
54 6.0786
55 6.0969
56 6.1274
57 6.1587
58 6.1674
59 6.1745
60 6.2057
61 6.2521
62 6.2938
63 6.3121
64 6.3333
65 6.3881
66 6.4025
67 6.4221
68 6.4395
69 6.4574
70 6.4812
71 6.4908
72 6.5143
73 6.5287
74 6.5320
75 6.5466
76 6.5637
77 6.5605
78 6.5703
79 6.5818
80 6.5723
@@@ f4-q8-turbo4-EN-c80
1 6.9400
2 6.7596
3 5.3644
4 5.7981
5 6.2449
6 6.2527
7 6.3719
8 6.4648
9 6.4651
10 6.1510
11 6.3077
12 6.3221
13 6.4250
14 6.6217
15 6.5509
16 6.3879
17 6.3835
18 6.3090
19 6.1104
20 5.9354
21 5.9476
22 6.1316
23 6.1341
24 6.2413
25 6.1923
26 6.1005
27 6.0406
28 5.9848
29 5.9064
30 5.8588
31 5.9126
32 5.9934
33 6.0074
34 5.9684
35 5.9536
36 5.9179
37 5.9815
38 5.9803
39 5.9873
40 6.0118
41 5.9693
42 5.9291
43 5.9323
44 5.9215
45 5.9337
46 6.0260
47 6.0738
48 6.1569
49 6.2557
50 6.2743
51 6.2813
52 6.2770
53 6.2694
54 6.2977
55 6.3333
56 6.3205
57 6.3538
58 6.3624
59 6.3585
60 6.3831
61 6.3680
62 6.3677
63 6.3644
64 6.3372
65 6.3282
66 6.3126
67 6.3542
68 6.3368
69 6.3632
70 6.4067
71 6.3932
72 6.4016
@@@ f4-q8-turbo4-PL-c80
1 6.0779
2 5.2060
3 5.0454
4 4.9705
5 4.6917
6 4.6796
7 4.8110
8 4.6210
9 4.4593
10 4.2841
11 4.4048
12 4.4828
13 4.3931
14 4.2903
15 4.1250
16 4.1210
17 4.0767
18 3.9675
19 3.9682
20 3.9986
21 3.9960
22 4.1390
23 4.2612
24 4.3521
25 4.4544
26 4.5445
27 4.6230
28 4.7291
29 4.8403
30 4.9038
31 4.9799
32 5.0326
33 5.0852
34 5.1854
35 5.2522
36 5.3214
37 5.3553
38 5.3709
39 5.4087
40 5.4413
41 5.4757
42 5.5309
43 5.5943
44 5.6424
45 5.7107
46 5.7511
47 5.8309
48 5.8815
49 5.9270
50 5.9398
51 5.9794
52 5.9864
53 6.0100
54 6.0564
55 6.0740
56 6.1041
57 6.1348
58 6.1427
59 6.1497
